대구,"신보, 국내 1호 데이터 가치평가서 발간",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389714
대구,[동정] 최재훈 대구달성군수,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389712
대구,"영남이공대·대구시검도회, 성인학습자 교육 활성화 업무협약",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389711
대구,"DGIST·서울대, 개방형 혁신 비즈니스 모델 개발 MOU",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389710
대구,"대구교통공사, 캐릭터 일러스트 공모전 개최",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389707
대구,"대구환경청, 하‧폐수 처리시설 기술지원",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389705
대구,"한국장학재단, '미래가치 창출 워크숍' 개최",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389702
대구,"농어촌公 경북본부, 'Lake 플로깅, Like 플로깅' 추진",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389700
대구,"대구환경청, 전자태그 활용한 의료폐기물 관리 강화",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389694
대구,"DGB대구은행, ‘DGB 2금융권 대환대출’ 상품 출시",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389691
대구,"경북대병원 김신우 교수, 대한항균요법학회 회장 취임",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=389681
대구,"대구본부세관, 미국·인도 진출기업 해외통관애로 해소 지원",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389638
대구,"한국농수산식품유통공사, 영국 킹스턴구 ‘김치의 날’ 제정 협력 모색",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389637
대구,"대구경북병무청·경북대병원, 병역명문가 예우 업무협약",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389636
대구,"영남대 의과대학, 상반기 의학통계/빅데이터 OPEN Class '성료'",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389635
대구,"대구 북구의회·광주 북구의회, 고향사랑기부금 상호 기부",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389634
대구,"대구남구의회, 2022회계연도 결산검사 완료",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389633
대구,"대구변호사회, 대구적십자사와 ‘행복한 밥상’ 봉사",일간경북신문 - 김범수기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389625
대구,"경북대 화학과 정성화·최상일 교수, 과학 날 맞아 '훈장·국무총리 표창'",일간경북신문 - 박정수기자,6호,http://www.kbsm.net/news/view.php?idx=389617
대구,"대구 달성군의회, 대구시의회에 '가창면, 수성구 편입 반대' 전달",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389615
대구,[동정] 강은희 대구교육감,일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389614
대구,[동정] 윤석준 대구동구청장,일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389613
대구,[동정] 이태훈 대구달서구청장,일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389612
대구,"대구 달성군, 주민참여예산위원회 신규위원 모집",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389611
대구,"대구문예진흥, 지역 청년 예술인 '독일 파견'",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=389610
대구,"대구 북구 볼링선수단, 직장운동경기부 운영 지원사업 공모 선정",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389608
대구,"DGB금융그룹, 핵심인재 육성 ‘HIPO 연수 프로그램’ 가동",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389607
대구,"대구 남구, 올바른 재활용 분리배출 퀴즈",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=389605
대구,"농어촌공사 경북본부, '안전 영농 기원 통수식’ 가져",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389604
대구,"대구 동구, 보육교직원 대상 '체득형 안전교육'",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=389600
대구,"도로공사, 건설사 합동 '민간·공공협력 안전교육 협의체' 출범식",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389599
대구,"대구교통공사, 3호선 비상상황 발생시 승객구조 이상무",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389595
대구,"대구 서구, 어린이 식생활 건강 뮤지컬 선봬",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=389593
대구,"대구상수도, 흐린 물 출수 예상 안내",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389590
대구,"대구시, 군위군 우수 농축산물 직거래 행사 개최",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389589
대구,"대구시, ‘젊음과 낭만이 넘치는 동성로’ 도시디자인 공모전",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389587
대구,"대구시, 68억 투자 미래자동차 모터 제조기업 집중 지원",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389586
대구,"대구 달서어린이도서관, 어린이날 행사 개최",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=389585
대구,"대구시, 서비스로봇산업 육성 본격 추진",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389584
대구,"대구 수성구, 희망수성 복지한마당 개최",일간경북신문 - 전수정기자,5호,http://www.kbsm.net/news/view.php?idx=389579
대구,[동정] 홍준표 대구시장,일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389578
대구,"경북대, 대학원 전공체험 박람회 열어",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=389572
대구,"영진전문대, 반려견스타일리스트 대회 '금상'",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=389569
대구,"영남이공대, 미국 국제미용 경연대회 장려상 수상",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389565
대구,"대구교육청, 고위공직자 갑질예방교육",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=389563
대구,"DGIST 김가인 교수, '삼성미래기술육성사업' 과제 선정",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389562
대구,[동정] 최재훈 대구달성군수,일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389560
대구,"안전보건공단 대구광역본부, 한국수자원 고령정수장 안전점검",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389558
대구,"대구환경청, 하천 홍수대응 수문운영교육",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389553
대구,"대구문예진흥원, 대구치맥페스티벌 해외 홍보·외래객 집중 유치",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389551
대구,"홍준표 시장, 신공항 관련 사업 속도감 있는 추진 지시",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389549
대구,"대성에너지, 대구 12번째 ‘나눔명문기업’ 선정",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389523
대구,"DGB대구은행, iM뱅크 해외송금 서비스 개선",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389521
대구,"DGB대구은행, ‘기업특화 영업조직’ 인천금융센터 확장 이전",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=389520
대구,[오늘 날씨] 대구·경북 오후부터 맑음...낮 최고 21도,일간경북신문 - 황수진기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389479
대구,"건보공단 대경본부, '건강마을 행복 더하기 프로젝트' 현판식 개최",일간경북신문 - 박정수기자,5호,http://www.kbsm.net/news/view.php?idx=389465
대구,대구·경북 청년 1인가구 증가···학업·직장 때문,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389451
대구,[동정] 강은희 대구교육감,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389441
대구,[동정] 윤석준 대구동구청장,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389440
대구,"대경경자청, 페루KSP 정책실무자에 투자유치 노하우 전수",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389438
대구,"대구 달서구, '너랑나랑 3삼5오 데이트' 참가자 모집",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389437
대구,"대구 남구, 장수·가족사진 촬영 봉사",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389432
대구,"대구 남구의회, 의회 기능강화 위한 집단심층면접 실시",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389429
대구,"대구 수성구, 공공데이터 운영실태 평가 '4년 연속 우수'",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389428
대구,"대구 동구, 반려화분 나눔 행사 추진",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389426
대구,"대구시의회, 대구지역 초저출생 극복 방안 모색",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389423
대구,"대구보건환경연구원, 캠핑철 앞두고 간편식 축산물 검사 강화",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389417
대구,"영진전문대 컴퓨터정보계열, 중기부 ‘기술사관 육성사업’ 시동",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=389416
대구,"서정학 신임 담수회 회장 선출, 감사에 최창돈씨",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389412
대구,[포토뉴스] 달성군 옥포읍 이팝나무 군락지에 눈꽃 피어올라,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389411
대구,"대구교육청, 2022년 교육공무직 집단(임금)협약",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=389409
대구,"대구시, 상장활성화 지원사업 참여 기업 모집",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389406
대구,"""창업 꿈 펼쳐라""···대구시, 타지역 청년창업가 모집",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389403
대구,"대구 서구, 취업준비생 대상 '멘탈잡고' 사업 운영",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=389402
대구,"계명대 동산병원, 지역 최초 ‘로봇탈장수술’ 성공",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=389397
